2026-03-27 13:14:37 INFO  BaseTestPortal - Waiting for verify button
2026-03-27 13:14:55 INFO  BaseTestPortal - Clicking verify button
2026-03-27 13:16:22 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-27 13:16:22 INFO  BaseTestPortal - successfully otp verified 
2026-03-27 16:04:32 INFO  BaseTestPortal - successfully login
2026-03-27 16:04:32 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-27 16:04:32 INFO  BaseTestPortal - Waiting for verify button
2026-03-27 16:04:53 INFO  BaseTestPortal - Clicking verify button
2026-03-27 16:06:18 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-27 16:06:18 INFO  BaseTestPortal - successfully otp verified
2026-03-28 12:13:16 INFO  BaseTestPortal - successfully login
2026-03-28 12:13:16 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-28 12:13:16 INFO  BaseTestPortal - Waiting for verify button
